Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,ProjectFinYear,pppProject,mdbSupport,GDP,Inflation,ProjectStatus
4,0,0,1,2,3,2003,1.58,3,13,2003,2003,1,1,0.452094682,0,2
4,0,0,1,2,3,2017,19,3,1,2017,2017,1,1,1.87534565,4.975952,0
4,0,0,1,2,4,2005,40.1,3,7,2005,2005,0,0,0.620325654,12.686269,0
4,0,0,1,2,3,2019,75,3,1,2019,2019,1,0,1.879944449,2.302373,0
4,0,0,1,2,3,2019,96.6,3,2,2019,2019,1,0,1.879944449,2.302373,0
4,0,0,1,2,3,2019,18.89,3,2,2019,2019,1,0,1.879944449,2.302373,0
4,0,0,1,2,4,2006,8.3,3,7,2006,2006,0,1,0.697175828,6.784597,0
1,1,2,2,2,3,2010,28,3,1,2009,2010,1,0,1.192692662,3.626047,0
1,1,2,2,2,3,2009,244,0,1,2009,2009,1,0,1.204420555,2.266922,0
1,1,2,2,2,3,2012,9,3,2,2012,2012,1,1,1.23198342,2.031593,0
1,1,2,2,2,3,2012,7.7,3,2,2012,2012,1,0,1.23198342,2.031593,0
1,1,2,2,2,3,2012,19.4,3,2,2012,2012,1,1,1.23198342,2.031593,0
1,1,2,2,2,3,2011,4.16,3,1,2011,2011,1,0,1.289076032,3.429123,0
1,1,2,2,0,9,2017,284.6,0,12,2017,2017,1,1,1.301972621,1.986661,0
1,1,2,2,1,3,2011,15.4,3,10,2009,2011,0,0,1.289076032,3.429123,1
1,1,2,2,1,3,2009,420,0,10,2009,2009,0,0,1.204420555,2.266922,1
1,1,2,2,2,3,2023,39.4,3,2,2023,2023,1,0,2.297767786,0,0
1,1,2,2,2,3,2012,10.6,3,2,2012,2012,1,1,1.23198342,2.031593,0
1,1,2,2,2,3,2012,10.1,3,2,2012,2012,1,1,1.23198342,2.031593,0
1,1,2,2,1,4,2007,161,0,10,2007,2007,0,0,1.067732485,2.932682,0
1,1,2,2,1,3,1996,21.25125,3,10,1996,1996,0,0,0.319964082,12.725478,1
1,1,2,2,1,3,1996,21.25125,3,10,1996,1996,0,0,0.319964082,12.725478,1
1,1,2,2,0,7,2013,51.3,3,12,2013,2013,1,0,1.27762245,1.937621,0
1,1,2,2,3,11,2003,21.25125,3,6,2003,2003,1,1,0.561149626,0.484003,2
1,1,2,2,2,3,2013,19.4,3,1,2013,2013,1,1,1.27762245,1.937621,0
1,1,2,2,2,5,2017,146.94,0,8,2018,2017,1,1,1.301972621,1.986661,0
1,1,2,2,2,3,2012,1.8,3,2,2012,2012,1,1,1.23198342,2.031593,0
1,1,2,2,3,11,2003,21.25125,3,6,2003,2003,1,0,0.561149626,0.484003,2
1,1,2,2,1,4,2000,102.2,0,10,2000,2000,0,1,0.348035526,0.050018,0
1,1,2,2,2,3,2023,147.93,0,1,2023,2023,1,0,2.297767786,0,0
1,1,2,2,2,0,2021,124.8,0,2,2021,2021,1,1,1.793056512,2.041472,0
1,1,2,2,2,5,2017,31.96,3,9,2018,2017,1,1,1.301972621,1.986661,0
1,1,2,2,1,3,2014,177.3,0,4,2014,2014,0,0,1.322814752,1.625865,0
1,1,2,2,0,0,2005,308,0,3,2005,2005,1,0,0.805207725,2.366582,0
1,1,2,2,0,11,2006,21.25125,3,12,2002,2006,1,1,0.889607501,2.370728,1
1,1,2,2,1,3,1996,21.25125,3,10,1996,1996,0,0,0.319964082,12.725478,1
1,1,2,2,0,3,2002,8,3,12,2002,2002,1,1,0.434806824,7.770526,0
1,1,2,2,2,3,2012,1370,1,1,2012,2012,1,1,1.23198342,2.031593,0
1,1,2,2,0,11,2002,8,3,12,2002,2002,1,1,0.434806824,7.770526,1
1,1,2,2,1,3,2012,75.8,3,4,2012,2012,0,1,1.23198342,2.031593,0
3,2,2,2,2,11,2008,180,0,1,2008,2008,1,1,18,4.858591,0
3,2,2,2,2,3,2006,1150,1,1,2006,2006,1,1,12.3,2.311499,0
3,2,2,2,3,11,2007,17.2525,3,6,2007,2007,1,1,14.2,3.678996,0
3,2,2,2,3,11,2011,17.2525,3,6,2011,2011,1,1,21.8,4.524212,0
3,2,2,2,2,6,1993,2300,4,2,1993,1993,1,0,4.994558445,20.540326,0
3,2,2,2,0,5,2017,3.38,3,8,2017,2017,1,1,19,5.591116,0
3,2,2,2,3,11,2005,17.2525,3,6,2005,2005,1,1,10.7,1.382447,2
3,2,2,2,2,3,2005,400,0,2,2005,2005,1,1,10.7,1.382447,0
3,2,2,2,2,4,2023,358.82,0,9,2023,2023,1,0,24,9.322174,0
3,2,2,2,2,11,2011,17.2525,3,1,2009,2011,1,1,21.8,4.524212,0
3,2,2,2,2,11,2007,230,0,1,2007,2007,1,1,14.2,3.678996,0
3,2,2,2,3,11,2007,17.2525,3,6,2007,2007,1,1,14.2,3.678996,0
3,2,2,2,3,8,2007,161,0,6,2007,2007,1,1,14.2,3.678996,0
3,2,2,2,2,11,2008,231,0,1,2008,2008,1,1,18,4.858591,0
3,2,2,2,2,3,2004,562,2,2,2004,2004,1,1,9.191368099,3.9618,0
3,2,2,2,2,11,2008,250,0,1,2008,2008,1,1,18,4.858591,0
3,2,2,2,2,11,2005,160,0,2,2005,2005,1,1,10.7,1.382447,0
3,2,2,2,2,3,2009,350,0,1,2009,2009,1,1,15,5.73706,0
3,2,2,2,2,3,2012,30.3,3,2,2012,2012,1,1,22.7,8.891451,0
3,2,2,2,2,5,2017,18.33,3,8,2017,2017,1,1,19,5.591116,0
3,2,2,2,2,4,2001,368.5,0,7,2001,2001,0,1,5.941340092,4.225988,0
3,2,2,2,2,11,2005,110,0,2,2005,2005,1,1,10.7,1.382447,0
3,2,2,2,3,0,2006,17.2525,3,6,2006,2006,1,1,12.3,2.311499,2
3,2,2,2,2,11,2005,240,0,2,2005,2005,1,1,10.7,1.382447,0
3,2,2,2,2,4,2005,465,0,7,2005,2005,0,1,10.7,1.382447,0
3,2,2,2,0,7,2005,17,3,12,2005,2005,1,1,10.7,1.382447,0
3,2,2,2,3,11,2008,17.2525,3,6,2008,2008,1,1,18,4.858591,0
3,2,2,2,0,7,2009,17.2525,3,3,2009,2009,1,1,15,5.73706,0
3,2,2,2,0,7,2009,108,0,3,2009,2009,1,1,15,5.73706,0
3,2,2,2,2,11,2009,468,0,1,2009,2009,1,1,15,5.73706,0
3,2,2,2,2,6,2006,1170,1,1,2006,2006,1,1,12.3,2.311499,0
3,2,2,2,2,11,2008,213,0,1,2008,2008,1,1,18,4.858591,0
5,3,2,2,2,4,2023,31,3,8,2023,2023,1,0,8.472295764,13.644102,0
5,3,2,2,2,3,2017,112,0,8,2014,2017,1,1,7.369015499,29.84448,0
5,3,2,2,2,3,2003,45,3,1,2003,2003,1,1,1.781270459,98.224144,0
5,3,2,2,2,3,2009,120,0,2,2009,2009,1,1,7.030719618,13.730284,0
5,3,2,2,1,4,2010,200,0,10,2010,2010,0,1,8.379947407,14.469656,0
5,3,2,2,0,7,2007,53,3,12,2007,2007,1,1,6.526641549,12.251497,0
