Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,pppProject,mdbSupport,GDP,Inflation,Political Support,ProjectStatus
1,0,2,2,0,5,2017,284.6,0,12,2017,1,1,1.301973,1.986661,0,0
1,0,2,2,0,3,2013,51.3,3,12,2013,1,0,1.277622,1.937621,51.886791,0
1,0,2,2,2,0,2021,124.8,0,2,2021,1,1,1.793057,2.041472,0,0
1,0,2,2,0,0,2005,308,0,3,2005,1,0,0.8052077,2.366582,37.440758,0
3,1,2,2,3,4,2007,161,0,6,2007,1,1,14.2,3.678996,12.796208,0
3,1,2,2,3,0,2006,17,3,6,2006,1,1,12.3,2.311499,9.478673,2
3,1,2,2,0,3,2005,17,3,12,2005,1,1,10.7,1.382447,10.42654,0
3,1,2,2,0,3,2009,17,3,3,2009,1,1,15,5.73706,11.904762,0
3,1,2,2,0,3,2009,108,0,3,2009,1,1,15,5.73706,11.904762,0
5,2,2,2,0,3,2007,53,3,12,2007,1,1,6.526642,12.251497,35.071091,0
5,2,2,2,0,3,2021,190,0,3,2021,1,1,6.650513,25.754295,0,0
2,3,2,2,0,3,2007,9.5,3,12,2007,1,0,28.8,14.939925,48.341232,0
2,3,2,2,0,3,2004,3.4,3,12,1998,1,1,16.5,18.363354,42.65403,0
2,3,2,2,0,4,1994,81.6,3,11,1994,1,1,25.7,2.84934,50.264549,1
2,3,2,2,0,4,1999,40,3,11,1994,1,1,28.4,-1.836558,44.174759,1
2,3,2,2,2,5,1996,32,3,1,1996,1,1,27.2,-0.052375,22.751324,0
2,3,2,2,0,4,1994,140,0,11,1994,1,1,25.7,2.84934,50.264549,1
2,3,2,2,0,4,1999,40,3,11,1994,1,1,28.4,-1.836558,44.174759,1
2,3,2,2,0,4,1994,106.8,0,11,1994,1,1,25.7,2.84934,50.264549,1
2,3,2,2,0,4,1999,40,3,11,1994,1,1,28.4,-1.836558,44.174759,1
2,3,2,2,0,3,1994,30,3,12,1994,1,0,25.7,2.84934,50.264549,0
2,3,2,2,0,0,2009,5.89,3,3,2009,1,1,33.3,15.377649,46.190475,0
2,3,2,2,3,5,2010,35.638409,3,6,2010,1,1,42.4,20.915124,52.857143,0
2,3,2,2,3,5,2010,35.638409,3,6,2010,1,1,42.4,20.915124,52.857143,0
2,3,2,2,3,5,2010,35.638409,3,6,2010,1,1,42.4,20.915124,52.857143,0
2,3,2,2,3,5,2010,35.638409,3,6,2010,1,1,42.4,20.915124,52.857143,0
2,3,2,2,3,5,2010,35.638409,3,6,2010,1,1,42.4,20.915124,52.857143,0
2,3,2,2,3,5,2010,35.638409,3,6,2010,1,1,42.4,20.915124,52.857143,0
2,3,2,2,3,5,2010,35.638409,3,6,2010,1,1,42.4,20.915124,52.857143,0
2,3,2,2,3,5,2010,35.638409,3,6,2010,1,1,42.4,20.915124,52.857143,0
2,3,2,2,0,5,1993,489.3,0,3,1993,1,0,23.7,-3.561096,0,0
2,3,2,2,0,5,2006,322,0,3,2006,1,1,23.3,13.741052,49.289101,3
2,3,2,2,3,5,2003,35.638409,3,6,2003,1,1,12.8,10.495703,36.966824,2
2,3,2,2,3,5,2003,35.638409,3,6,2003,1,1,12.8,10.495703,36.966824,2
2,3,2,2,3,5,2003,35.638409,3,6,2003,1,1,12.8,10.495703,36.966824,2
2,3,2,2,3,5,2003,35.638409,3,6,2003,1,1,12.8,10.495703,36.966824,2
2,3,2,2,3,5,2003,35.638409,3,6,2003,1,1,12.8,10.495703,36.966824,2
2,3,2,2,3,5,2003,35.638409,3,6,2003,1,1,12.8,10.495703,36.966824,2
2,3,2,2,0,5,1997,775,2,3,1997,1,1,29.3,-0.463913,35.17588,1
2,3,2,2,3,4,1993,605.6,2,6,1993,1,0,23.7,-3.561096,0,0
2,3,2,2,0,5,2008,331,0,3,2008,1,1,36.2,23.171165,45.714287,0
2,3,2,2,3,3,2001,35.638409,3,5,2001,1,1,26.9,-1.095768,46.859905,0
2,3,2,2,0,0,2001,42.2,3,3,2001,1,1,26.9,-1.095768,46.859905,0
2,3,2,2,0,3,1994,80,3,12,1994,1,1,25.7,2.84934,50.264549,0
2,3,2,2,0,4,1999,2000,1,11,1995,1,0,28.4,-1.836558,44.174759,0
2,3,2,2,0,4,1995,488.2,0,11,1995,1,0,25.8,3.165123,0,0
2,3,2,2,0,4,2000,4.4,3,12,2000,1,1,28.4,1.037287,45.893719,2
2,3,2,2,2,3,1995,100,0,1,1995,1,0,25.8,3.165123,0,0
2,3,2,2,0,5,1990,35.638409,3,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,2,5,1997,350,0,1,1997,1,0,29.3,-0.463913,35.17588,0
2,3,2,2,0,5,1990,44,3,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,0,5,1990,243,0,12,1990,1,1,14.1,2078.316818,51.063831,0
2,3,2,2,0,5,1990,54,3,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,0,5,1990,42,3,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,0,5,1990,154,0,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,0,5,1990,56,3,12,1990,1,1,14.1,2078.316818,51.063831,2
