Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,pppProject,mdbSupport,GDP,Inflation,Political Support,ProjectStatus
1,0,2,2,3,2,2003,19.98,3,5,2003,1,1,0.561149626,0.484002612,36.180904,2
1,0,2,2,2,0,2017,146.94,0,7,2018,1,1,1.301972621,1.986661332,59.523811,0
1,0,2,2,3,2,2003,19.98,3,5,2003,1,0,0.561149626,0.484002612,36.180904,2
1,0,2,2,2,0,2017,31.96,3,8,2018,1,1,1.301972621,1.986661332,59.523811,0
1,0,2,2,0,2,2006,19.98,3,11,2002,1,1,0.889607501,2.370728319,29.951691,1
1,0,2,2,0,2,2002,8,3,11,2002,1,1,0.434806824,7.770525834,33.862434,1
3,1,2,2,2,2,2008,180,0,0,2008,1,1,1.80E+01,4.858590628,14.903846,0
3,1,2,2,3,2,2007,10.855,3,5,2007,1,1,1.42E+01,3.678995747,14.009662,0
3,1,2,2,3,2,2011,10.855,3,5,2011,1,1,2.18E+01,4.524211505,10.42654,0
3,1,2,2,0,0,2017,3.38,3,7,2017,1,1,1.90E+01,5.59111591,15.714286,0
3,1,2,2,3,2,2005,10.855,3,5,2005,1,1,1.07E+01,1.382446567,20.38835,2
3,1,2,2,2,2,2011,10.855,3,0,2009,1,1,2.18E+01,4.524211505,10.42654,0
3,1,2,2,2,2,2007,230,0,0,2007,1,1,1.42E+01,3.678995747,14.009662,0
3,1,2,2,3,2,2007,10.855,3,5,2007,1,1,1.42E+01,3.678995747,14.009662,0
3,1,2,2,2,2,2008,231,0,0,2008,1,1,1.80E+01,4.858590628,14.903846,0
3,1,2,2,2,2,2008,250,0,0,2008,1,1,1.80E+01,4.858590628,14.903846,0
3,1,2,2,2,2,2005,160,0,1,2005,1,1,1.07E+01,1.382446567,20.38835,0
3,1,2,2,2,0,2017,18.33,3,7,2017,1,1,1.90E+01,5.59111591,15.714286,0
3,1,2,2,2,2,2005,110,0,1,2005,1,1,1.07E+01,1.382446567,20.38835,0
3,1,2,2,2,2,2005,240,0,1,2005,1,1,1.07E+01,1.382446567,20.38835,0
3,1,2,2,3,2,2008,10.855,3,5,2008,1,1,1.80E+01,4.858590628,14.903846,0
3,1,2,2,2,2,2009,468,0,0,2009,1,1,1.50E+01,5.737060361,13.270143,0
3,1,2,2,2,2,2008,213,0,0,2008,1,1,1.80E+01,4.858590628,14.903846,0
2,2,2,2,0,2,2000,41,3,11,2000,1,1,2.84E+01,1.037287101,50.264549,1
2,2,2,2,0,2,2004,1.2,3,11,2000,1,1,1.65E+01,18.36335425,26.213593,1
2,2,2,2,0,2,2002,67,3,2,2002,1,1,9.772400425,30.55520405,22.751324,0
2,2,2,2,0,2,2004,33.45,3,2,1998,1,1,1.65E+01,18.36335425,26.213593,1
2,2,2,2,0,2,2003,35.520833,3,2,1998,1,1,1.28E+01,10.49570302,35.17588,1
2,2,2,2,0,2,2002,35.520833,3,2,1998,1,1,9.772400425,30.55520405,22.751324,1
2,2,2,2,0,2,2001,35.520833,3,2,1998,1,1,2.69E+01,-1.095767718,0,1
2,2,2,2,0,2,2000,35.520833,3,2,1998,1,1,2.84E+01,1.037287101,50.264549,1
2,2,2,2,0,2,1999,31.8,3,2,1998,1,1,2.84E+01,-1.836558392,0,1
2,2,2,2,0,2,1998,35.520833,3,2,1998,1,1,2.99E+01,-1.705279624,39.361702,1
2,2,2,2,0,2,1999,142,0,2,1999,1,0,2.84E+01,-1.836558392,0,0
2,2,2,2,0,2,1998,432.8,0,11,1998,1,1,2.99E+01,-1.705279624,39.361702,1
2,2,2,2,0,2,1999,728.6,2,11,1999,1,1,2.84E+01,-1.836558392,0,1
2,2,2,2,0,2,2005,35.520833,3,11,1992,1,1,1.99E+01,10.3175112,44.174759,0
2,2,2,2,0,2,2000,648.9,2,2,2000,1,1,2.84E+01,1.037287101,50.264549,1
2,2,2,2,0,2,1997,797,2,2,1997,1,0,2.93E+01,-0.463913131,0,0
